fold,label_fraction,split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
0,0.10,train_fraction,38-39,1,0.024390243902439025,13,0.025540275049115914,0.0011500311466768887
0,0.10,train_fraction,40-41,1,0.024390243902439025,14,0.0275049115913556,0.0031146676889165746
0,0.10,train_fraction,42-43,2,0.04878048780487805,23,0.04518664047151277,0.003593847333365277
0,0.10,train_fraction,44-45,1,0.024390243902439025,12,0.023575638506876228,0.0008146053955627973
0,0.10,train_fraction,46-47,1,0.024390243902439025,17,0.03339882121807466,0.009008577315635632
0,0.10,train_fraction,48-49,1,0.024390243902439025,14,0.0275049115913556,0.0031146676889165746
0,0.10,train_fraction,50,1,0.024390243902439025,10,0.019646365422396856,0.004743878480042169
0,0.10,train_fraction,51-55,3,0.07317073170731707,33,0.06483300589390963,0.008337725813407443
0,0.10,train_fraction,56-60,2,0.04878048780487805,28,0.0550098231827112,0.006229335377833149
0,0.10,train_fraction,61-65,1,0.024390243902439025,2,0.003929273084479371,0.020460970817959653
0,0.10,train_fraction,66-67,0,0.0,1,0.0019646365422396855,0.0019646365422396855
0,0.10,val,10-11,5,0.049019607843137254,21,0.0412573673870334,0.007762240456103853
0,0.10,val,12-13,8,0.0784313725490196,37,0.07269155206286837,0.005739820486151237
0,0.10,val,14-15,12,0.11764705882352941,57,0.11198428290766209,0.005662775915867321
0,0.10,val,16-17,7,0.06862745098039216,37,0.07269155206286837,0.004064101082476207
0,0.10,val,18-19,4,0.0392156862745098,20,0.03929273084479371,7.704457028390871e-05
0,0.10,val,20-21,4,0.0392156862745098,24,0.047151277013752456,0.007935590739242653
0,0.10,val,22-23,4,0.0392156862745098,22,0.043222003929273084,0.004006317654763281
0,0.10,val,24-25,3,0.029411764705882353,15,0.029469548133595286,5.7783427712933266e-05
0,0.10,val,26-27,4,0.0392156862745098,17,0.03339882121807466,0.005816865056435146
0,0.10,val,28-29,5,0.049019607843137254,21,0.0412573673870334,0.007762240456103853
0,0.10,val,30-31,2,0.0196078431372549,11,0.021611001964636542,0.0020031588273816403
0,0.10,val,32-33,3,0.029411764705882353,18,0.03536345776031434,0.005951693054431988
0,0.10,val,34-35,4,0.0392156862745098,22,0.043222003929273084,0.004006317654763281
0,0.10,val,36-37,4,0.0392156862745098,20,0.03929273084479371,7.704457028390871e-05
0,0.10,val,38-39,2,0.0196078431372549,13,0.025540275049115914,0.005932431911861012
0,0.10,val,40-41,3,0.029411764705882353,14,0.0275049115913556,0.0019068531145267527
0,0.10,val,42-43,4,0.0392156862745098,23,0.04518664047151277,0.00597095419700297
0,0.10,val,44-45,3,0.029411764705882353,12,0.023575638506876228,0.005836126199006125
0,0.10,val,46-47,4,0.0392156862745098,17,0.03339882121807466,0.005816865056435146
0,0.10,val,48-49,3,0.029411764705882353,14,0.0275049115913556,0.0019068531145267527
0,0.10,val,50,2,0.0196078431372549,10,0.019646365422396856,3.8522285141954354e-05
0,0.10,val,51-55,6,0.058823529411764705,33,0.06483300589390963,0.006009476482144921
0,0.10,val,56-60,5,0.049019607843137254,28,0.0550098231827112,0.0059902153395739455
0,0.10,val,61-65,0,0.0,2,0.003929273084479371,0.003929273084479371
0,0.10,val,66-67,1,0.00980392156862745,1,0.0019646365422396855,0.007839285026387765
0,0.25,overall,10-11,21,0.0412573673870334,21,0.0412573673870334,0.0
0,0.25,overall,12-13,37,0.07269155206286837,37,0.07269155206286837,0.0
0,0.25,overall,14-15,57,0.11198428290766209,57,0.11198428290766209,0.0
0,0.25,overall,16-17,37,0.07269155206286837,37,0.07269155206286837,0.0
0,0.25,overall,18-19,20,0.03929273084479371,20,0.03929273084479371,0.0
0,0.25,overall,20-21,24,0.047151277013752456,24,0.047151277013752456,0.0
0,0.25,overall,22-23,22,0.043222003929273084,22,0.043222003929273084,0.0
0,0.25,overall,24-25,15,0.029469548133595286,15,0.029469548133595286,0.0
0,0.25,overall,26-27,17,0.03339882121807466,17,0.03339882121807466,0.0
0,0.25,overall,28-29,21,0.0412573673870334,21,0.0412573673870334,0.0
0,0.25,overall,30-31,11,0.021611001964636542,11,0.021611001964636542,0.0
0,0.25,overall,32-33,18,0.03536345776031434,18,0.03536345776031434,0.0
0,0.25,overall,34-35,22,0.043222003929273084,22,0.043222003929273084,0.0
0,0.25,overall,36-37,20,0.03929273084479371,20,0.03929273084479371,0.0
0,0.25,overall,38-39,13,0.025540275049115914,13,0.025540275049115914,0.0
0,0.25,overall,40-41,14,0.0275049115913556,14,0.0275049115913556,0.0
0,0.25,overall,42-43,23,0.04518664047151277,23,0.04518664047151277,0.0
0,0.25,overall,44-45,12,0.023575638506876228,12,0.023575638506876228,0.0
